,p00,p01,p10,p11
1,0.8037475345167653,0.19625246548323472,0.5718390804597702,0.4281609195402299
2,0.7016129032258065,0.29838709677419356,0.4466800804828974,0.5533199195171026
3,0.6354609929078014,0.3645390070921986,0.3896499238964992,0.6103500761035008
4,0.4852941176470589,0.5147058823529411,0.2897862232779097,0.7102137767220903
5,0.4484978540772532,0.5515021459227468,0.2879464285714286,0.7120535714285714
6,0.48073022312373226,0.5192697768762677,0.3103030303030303,0.6896969696969697
7,0.494077834179357,0.505922165820643,0.3865110246433203,0.6134889753566797
8,0.5229793977812995,0.47702060221870046,0.41039671682626544,0.5896032831737346
9,0.5882352941176471,0.4117647058823529,0.3759071117561683,0.6240928882438317
10,0.4916201117318436,0.5083798882681564,0.33090909090909093,0.6690909090909091
11,0.5634057971014492,0.4365942028985507,0.3133159268929504,0.6866840731070496
12,0.7196029776674938,0.2803970223325062,0.4128440366972477,0.5871559633027523
